id,cid,time_stamp,viewCount,subscriberCount,commentCount,hiddenSubscriberCount,videoCount
211,UC0GHWMeK1Qyxtu7dI309IDA,2020-02-04,108076,834,0,0,36
212,UC1qyRC_RczgsNs3UaDZ9hIA,2020-02-04,5920948,31700,0,0,1148
213,UCBfcI0EM_j_eo82ERdOf3fA,2020-02-04,2083139,15300,0,0,258
214,UChmb0fgHo1KTkvZfmER4uJw,2020-02-04,8363641,108000,0,0,67
215,UCn-NsYO-BDLtT1geVMLIe_Q,2020-02-04,17634,0,0,1,70
216,UCn_yc1cotu73LXUouC2-8Xg,2020-02-04,1520626,326,0,0,111
217,UCqI5lyTpC79pOy2D-VXAMdA,2020-02-04,68786816,195000,0,0,704
218,UCRyymykFkLjTB_gt6tHpZ0g,2020-02-04,3763618,0,0,1,34
219,UCTB5cSRdZzJ4g2x09GQP-wA,2020-02-04,1986517,9280,0,0,42
220,UCuYmVpPCi3CHUZJk6f4ZQHw,2020-02-04,3947528,13400,0,0,196
221,UCXBNaNDN2JQRb7zgy2vzz0Q,2020-02-04,779763,5530,0,0,227
222,UC0GHWMeK1Qyxtu7dI309IDA,2020-02-05,108679,837,0,0,35
223,UC1qyRC_RczgsNs3UaDZ9hIA,2020-02-05,5922920,31700,0,0,1148
224,UCBfcI0EM_j_eo82ERdOf3fA,2020-02-05,2086345,15400,0,0,258
225,UChmb0fgHo1KTkvZfmER4uJw,2020-02-05,8369729,109000,0,0,67
226,UCn-NsYO-BDLtT1geVMLIe_Q,2020-02-05,17649,0,0,1,70
227,UCn_yc1cotu73LXUouC2-8Xg,2020-02-05,1520696,327,0,0,111
228,UCqI5lyTpC79pOy2D-VXAMdA,2020-02-05,68839288,196000,0,0,704
229,UCRyymykFkLjTB_gt6tHpZ0g,2020-02-05,3765855,0,0,1,34
230,UCTB5cSRdZzJ4g2x09GQP-wA,2020-02-05,1999840,9330,0,0,43
231,UCuYmVpPCi3CHUZJk6f4ZQHw,2020-02-05,3949192,13400,0,0,196
232,UCXBNaNDN2JQRb7zgy2vzz0Q,2020-02-05,780156,5530,0,0,227
233,UC0GHWMeK1Qyxtu7dI309IDA,2020-02-06,109436,841,0,0,35
234,UC1qyRC_RczgsNs3UaDZ9hIA,2020-02-06,5926403,31700,0,0,1148
235,UCBfcI0EM_j_eo82ERdOf3fA,2020-02-06,2091226,15400,0,0,259
236,UChmb0fgHo1KTkvZfmER4uJw,2020-02-06,8379357,109000,0,0,67
237,UCn-NsYO-BDLtT1geVMLIe_Q,2020-02-06,17672,0,0,1,70
238,UCn_yc1cotu73LXUouC2-8Xg,2020-02-06,1520796,328,0,0,111
239,UCqI5lyTpC79pOy2D-VXAMdA,2020-02-06,69027204,196000,0,0,705
240,UCRyymykFkLjTB_gt6tHpZ0g,2020-02-06,3769028,0,0,1,34
241,UCTB5cSRdZzJ4g2x09GQP-wA,2020-02-06,2018235,9400,0,0,43
242,UCuYmVpPCi3CHUZJk6f4ZQHw,2020-02-06,3951749,13400,0,0,196
243,UCXBNaNDN2JQRb7zgy2vzz0Q,2020-02-06,780613,5530,0,0,227
244,UC0GHWMeK1Qyxtu7dI309IDA,2020-02-07,110602,841,0,0,38
245,UC1qyRC_RczgsNs3UaDZ9hIA,2020-02-07,5930683,31700,0,0,1150
246,UCBfcI0EM_j_eo82ERdOf3fA,2020-02-07,2095412,15400,0,0,262
247,UChmb0fgHo1KTkvZfmER4uJw,2020-02-07,8394746,109000,0,0,68
248,UCn-NsYO-BDLtT1geVMLIe_Q,2020-02-07,17758,0,0,1,71
249,UCn_yc1cotu73LXUouC2-8Xg,2020-02-07,1520923,327,0,0,111
250,UCqI5lyTpC79pOy2D-VXAMdA,2020-02-07,69399234,197000,0,0,707
251,UCRyymykFkLjTB_gt6tHpZ0g,2020-02-07,3773167,0,0,1,34
252,UCTB5cSRdZzJ4g2x09GQP-wA,2020-02-07,2038990,9460,0,0,44
253,UCuYmVpPCi3CHUZJk6f4ZQHw,2020-02-07,3955665,13400,0,0,197
254,UCXBNaNDN2JQRb7zgy2vzz0Q,2020-02-07,791476,5550,0,0,228
255,UC0GHWMeK1Qyxtu7dI309IDA,2020-02-08,110982,842,0,0,38
256,UC1qyRC_RczgsNs3UaDZ9hIA,2020-02-08,5932293,31700,0,0,1150
257,UCBfcI0EM_j_eo82ERdOf3fA,2020-02-08,2096327,15400,0,0,262
258,UChmb0fgHo1KTkvZfmER4uJw,2020-02-08,8401188,109000,0,0,68
259,UCn-NsYO-BDLtT1geVMLIe_Q,2020-02-08,17761,0,0,1,71
260,UCn_yc1cotu73LXUouC2-8Xg,2020-02-08,1520942,327,0,0,111
261,UCqI5lyTpC79pOy2D-VXAMdA,2020-02-08,69640282,197000,0,0,707
262,UCRyymykFkLjTB_gt6tHpZ0g,2020-02-08,3774730,0,0,1,34
263,UCTB5cSRdZzJ4g2x09GQP-wA,2020-02-08,2042795,9460,0,0,44
264,UCuYmVpPCi3CHUZJk6f4ZQHw,2020-02-08,3956711,13400,0,0,197
265,UCXBNaNDN2JQRb7zgy2vzz0Q,2020-02-08,790964,5550,0,0,228
266,UC0GHWMeK1Qyxtu7dI309IDA,2020-02-09,111808,849,0,0,38
267,UC1qyRC_RczgsNs3UaDZ9hIA,2020-02-09,5935734,31700,0,0,1150
268,UCBfcI0EM_j_eo82ERdOf3fA,2020-02-09,2098901,15500,0,0,262
269,UChmb0fgHo1KTkvZfmER4uJw,2020-02-09,8435035,109000,0,0,68
270,UCn-NsYO-BDLtT1geVMLIe_Q,2020-02-09,17774,0,0,1,71
271,UCn_yc1cotu73LXUouC2-8Xg,2020-02-09,1521006,328,0,0,111
272,UCqI5lyTpC79pOy2D-VXAMdA,2020-02-09,69986491,198000,0,0,708
273,UCRyymykFkLjTB_gt6tHpZ0g,2020-02-09,3778258,0,0,1,34
274,UCTB5cSRdZzJ4g2x09GQP-wA,2020-02-09,2059015,9490,0,0,45
275,UCuYmVpPCi3CHUZJk6f4ZQHw,2020-02-09,3959200,13400,0,0,197
276,UCXBNaNDN2JQRb7zgy2vzz0Q,2020-02-09,795232,5550,0,0,228
277,UC0GHWMeK1Qyxtu7dI309IDA,2020-02-10,112658,853,0,0,38
278,UC1qyRC_RczgsNs3UaDZ9hIA,2020-02-10,5938247,31700,0,0,1150
279,UCBfcI0EM_j_eo82ERdOf3fA,2020-02-10,2101699,15500,0,0,263
280,UChmb0fgHo1KTkvZfmER4uJw,2020-02-10,8466390,110000,0,0,68
281,UCn-NsYO-BDLtT1geVMLIe_Q,2020-02-10,17802,0,0,1,71
282,UCn_yc1cotu73LXUouC2-8Xg,2020-02-10,1521070,328,0,0,111
283,UCqI5lyTpC79pOy2D-VXAMdA,2020-02-10,70204324,198000,0,0,709
284,UCRyymykFkLjTB_gt6tHpZ0g,2020-02-10,3780917,0,0,1,34
285,UCTB5cSRdZzJ4g2x09GQP-wA,2020-02-10,2073331,9530,0,0,45
286,UCuYmVpPCi3CHUZJk6f4ZQHw,2020-02-10,3961637,13400,0,0,197
287,UCXBNaNDN2JQRb7zgy2vzz0Q,2020-02-10,800106,5550,0,0,229
288,UC0GHWMeK1Qyxtu7dI309IDA,2020-02-11,113594,856,0,0,38
289,UC1qyRC_RczgsNs3UaDZ9hIA,2020-02-11,5941548,31700,0,0,1150
290,UCBfcI0EM_j_eo82ERdOf3fA,2020-02-11,2105327,15500,0,0,263
291,UChmb0fgHo1KTkvZfmER4uJw,2020-02-11,8498674,111000,0,0,68
292,UCn-NsYO-BDLtT1geVMLIe_Q,2020-02-11,17819,0,0,1,71
293,UCn_yc1cotu73LXUouC2-8Xg,2020-02-11,1521183,328,0,0,111
294,UCqI5lyTpC79pOy2D-VXAMdA,2020-02-11,70500609,199000,0,0,711
295,UCRyymykFkLjTB_gt6tHpZ0g,2020-02-11,3783785,0,0,1,34
296,UCTB5cSRdZzJ4g2x09GQP-wA,2020-02-11,2084436,9560,0,0,46
297,UCuYmVpPCi3CHUZJk6f4ZQHw,2020-02-11,3965290,13400,0,0,198
298,UCXBNaNDN2JQRb7zgy2vzz0Q,2020-02-11,801992,5560,0,0,229
299,UC0GHWMeK1Qyxtu7dI309IDA,2020-02-12,114157,857,0,0,38
300,UC1qyRC_RczgsNs3UaDZ9hIA,2020-02-12,5943147,31800,0,0,1150
301,UCBfcI0EM_j_eo82ERdOf3fA,2020-02-12,2107387,15500,0,0,264
302,UChmb0fgHo1KTkvZfmER4uJw,2020-02-12,8516602,111000,0,0,68
303,UCn-NsYO-BDLtT1geVMLIe_Q,2020-02-12,17882,0,0,1,73
304,UCn_yc1cotu73LXUouC2-8Xg,2020-02-12,1521260,328,0,0,111
305,UCqI5lyTpC79pOy2D-VXAMdA,2020-02-12,70666661,199000,0,0,712
306,UCRyymykFkLjTB_gt6tHpZ0g,2020-02-12,3785810,0,0,1,34
307,UCTB5cSRdZzJ4g2x09GQP-wA,2020-02-12,2091204,9590,0,0,46
308,UCuYmVpPCi3CHUZJk6f4ZQHw,2020-02-12,3967204,13400,0,0,198
309,UCXBNaNDN2JQRb7zgy2vzz0Q,2020-02-12,802255,5560,0,0,229
